company,domain,sector_group,town,member_adjacency,dr,organic_visits_mo_gb,organic_keywords,top3_keywords,notes
Tailor Made Technologies,tmtech.co.uk,MSP,Whiteley,Matt Brown (IT Squad),35,13,6,3,Inc. 2000; ISO 9001+27001; PRIORITY 1
JPS Fire & Security,jpsfire.com,Fire & security,Chandler's Ford,Benfield sector via Donna,2.2,0,0,0,Est. 1994; BAFE/NSI; PRIORITY 2
RJC Mechanical,rjcme.com,M&E,Fareham,Declan Rose / David Bone,4.7,0,0,0,50 vehicles; MoD clients; PRIORITY 3
ACG Contractors,acgcontractors.co.uk,Construction,Southampton,Karol Paruk,0,0,0,0,National client roster; PRIORITY 4
R.K. Marine,rkmarine.co.uk,Marine,Swanwick/Warsash,Marine cluster,10,53,3,1,"50+ yrs, two yards, dated site; PRIORITY 5"
Itchen Marine Towage,itchenmarinetowage.co.uk,Marine,Southampton,Marine cluster,3.1,0,0,0,80 yrs; very dated Wix site; PRIORITY 6
CCL Cleaning Group,cclcleaninggroup.co.uk,Facilities,Woolston,Facilities,3.1,22,4,2,Est. 1976; council/NHS contracts; PRIORITY 7
Landau (UK),landauuk.com,Marine,Woolston/Swanwick,Marine cluster,10,15,4,2,Est. 1995; defence+leisure; PRIORITY 8
Greenfield Insurance,greenfieldinsurance.co.uk,Brokers,Segensworth,Damien's trade (knowability only),12,17,21,9,Est. 1989 family broker; PRIORITY 9
Aura Technology,auratechnology.com,MSP,Southampton,Matt Brown (IT Squad),29,40,13,5,Strategic MSP; PRIORITY 10
Studio Four Architects,studiofourarchitects.com,Architects,Romsey,Ranjeet Shahi (RS Studio),16,23,4,2,20+ staff RIBA; PRIORITY 11
Wilkinson Precision,wilkinsonprecision.co.uk,Manufacturing,Hedge End,Industrial estates,2.3,0,0,0,Site throws server error; PRIORITY 12
Aztec Marine,aztecmarine.co.uk,Marine,Hamble Point,Marine cluster,9,0,0,0,OEM approvals; older site
Lauren Marine,laurenmarine.co.uk,Marine,Woolston,Marine cluster,13,2,2,0,Family yard; dated site
Hamble Yacht Services,hambleyachtservices.co.uk,Marine,Hamble,Marine cluster,25,249,17,2,Major yard; some presence
